"Aceptar.diferencia","Participacion","Aula.abierta","Aprendizaje"
"Rechaza uno o más grupos",15,14,NA
"Acepta todos los grupos",7,15,17
NA,14,21,23
"Rechaza uno o más grupos",12,17,22
"Acepta todos los grupos",15,14,7
"Rechaza uno o más grupos",17,22,25
"Rechaza uno o más grupos",16,14,18
"Rechaza uno o más grupos",16,24,16
"Rechaza uno o más grupos",11,20,16
"Rechaza uno o más grupos",12,19,20
"Rechaza uno o más grupos",7,8,7
"Rechaza uno o más grupos",10,14,24
"Rechaza uno o más grupos",12,16,15
"Rechaza uno o más grupos",14,19,22
"Rechaza uno o más grupos",16,18,18
"Rechaza uno o más grupos",14,10,9
"Rechaza uno o más grupos",9,17,18
"Acepta todos los grupos",12,18,14
"Rechaza uno o más grupos",11,19,15
"Rechaza uno o más grupos",14,16,15
"Acepta todos los grupos",15,16,18
NA,NA,NA,NA
"Acepta todos los grupos",11,15,17
"Acepta todos los grupos",NA,22,26
"Rechaza uno o más grupos",10,13,12
"Rechaza uno o más grupos",17,12,22
"Rechaza uno o más grupos",15,16,16
"Rechaza uno o más grupos",9,11,14
"Rechaza uno o más grupos",10,8,9
"Rechaza uno o más grupos",16,14,19
"Rechaza uno o más grupos",15,18,22
"Rechaza uno o más grupos",13,9,21
"Rechaza uno o más grupos",16,14,21
"Rechaza uno o más grupos",10,16,18
"Acepta todos los grupos",14,19,NA
"Rechaza uno o más grupos",19,17,NA
"Rechaza uno o más grupos",16,21,26
"Acepta todos los grupos",14,15,13
"Rechaza uno o más grupos",13,18,NA
"Rechaza uno o más grupos",19,19,20
"Rechaza uno o más grupos",12,22,19
"Acepta todos los grupos",11,13,10
"Rechaza uno o más grupos",13,16,20
"Rechaza uno o más grupos",10,21,21
"Rechaza uno o más grupos",15,22,22
"Acepta todos los grupos",19,24,23
"Rechaza uno o más grupos",18,22,22
"Acepta todos los grupos",19,20,26
"Rechaza uno o más grupos",15,18,18
"Rechaza uno o más grupos",14,18,15
"Rechaza uno o más grupos",11,17,16
NA,17,12,22
"Rechaza uno o más grupos",14,24,22
"Rechaza uno o más grupos",17,22,25
"Rechaza uno o más grupos",13,18,28
"Rechaza uno o más grupos",10,16,13
"Acepta todos los grupos",9,20,7
"Rechaza uno o más grupos",16,20,14
"Rechaza uno o más grupos",17,24,21
"Rechaza uno o más grupos",12,17,14
"Rechaza uno o más grupos",10,17,15
"Acepta todos los grupos",10,18,13
"Acepta todos los grupos",11,16,18
"Rechaza uno o más grupos",11,18,14
"Rechaza uno o más grupos",19,21,18
"Acepta todos los grupos",15,24,13
"Rechaza uno o más grupos",11,17,10
"Rechaza uno o más grupos",11,13,13
"Acepta todos los grupos",12,20,16
"Acepta todos los grupos",11,13,22
"Acepta todos los grupos",11,17,11
"Acepta todos los grupos",15,18,NA
"Rechaza uno o más grupos",13,22,23
"Acepta todos los grupos",15,15,28
"Rechaza uno o más grupos",15,23,22
"Rechaza uno o más grupos",11,18,22
"Rechaza uno o más grupos",13,16,15
"Rechaza uno o más grupos",18,22,25
"Rechaza uno o más grupos",11,18,21
"Acepta todos los grupos",16,21,21
"Rechaza uno o más grupos",11,21,14
"Rechaza uno o más grupos",11,20,18
"Acepta todos los grupos",11,NA,13
"Rechaza uno o más grupos",11,14,12
"Rechaza uno o más grupos",11,18,21
"Rechaza uno o más grupos",17,20,21
"Rechaza uno o más grupos",18,17,23
NA,10,12,14
"Rechaza uno o más grupos",12,24,13
"Rechaza uno o más grupos",9,12,12
"Rechaza uno o más grupos",9,12,7
"Rechaza uno o más grupos",10,24,21
"Rechaza uno o más grupos",13,24,22
"Rechaza uno o más grupos",12,22,23
"Rechaza uno o más grupos",8,22,22
"Rechaza uno o más grupos",10,16,15
"Acepta todos los grupos",11,18,23
"Acepta todos los grupos",12,16,20
"Rechaza uno o más grupos",12,16,10
"Rechaza uno o más grupos",11,22,23
"Rechaza uno o más grupos",19,24,21
"Rechaza uno o más grupos",15,20,18
"Rechaza uno o más grupos",11,22,8
"Acepta todos los grupos",13,18,21
"Rechaza uno o más grupos",19,24,28
"Rechaza uno o más grupos",14,22,21
"Rechaza uno o más grupos",18,21,14
"Acepta todos los grupos",10,20,21
"Rechaza uno o más grupos",17,16,NA
"Rechaza uno o más grupos",13,18,28
"Rechaza uno o más grupos",18,23,28
"Acepta todos los grupos",16,22,27
"Acepta todos los grupos",11,12,28
"Acepta todos los grupos",15,14,28
"Rechaza uno o más grupos",12,22,24
"Acepta todos los grupos",10,17,18
"Acepta todos los grupos",11,15,23
"Acepta todos los grupos",11,16,10
"Rechaza uno o más grupos",12,20,19
"Rechaza uno o más grupos",15,18,27
"Rechaza uno o más grupos",15,22,25
"Rechaza uno o más grupos",14,8,25
"Rechaza uno o más grupos",18,24,23
"Rechaza uno o más grupos",14,20,19
"Acepta todos los grupos",12,19,13
"Rechaza uno o más grupos",10,16,17
"Rechaza uno o más grupos",21,24,17
"Acepta todos los grupos",15,20,25
NA,12,22,21
"Rechaza uno o más grupos",9,21,21
"Rechaza uno o más grupos",15,24,28
"Rechaza uno o más grupos",11,23,19
"Acepta todos los grupos",12,19,22
"Rechaza uno o más grupos",16,22,21
"Rechaza uno o más grupos",15,19,24
"Rechaza uno o más grupos",17,18,22
"Rechaza uno o más grupos",14,23,21
"Rechaza uno o más grupos",12,16,21
"Acepta todos los grupos",16,17,18
"Rechaza uno o más grupos",15,20,27
"Rechaza uno o más grupos",16,20,27
"Rechaza uno o más grupos",15,19,27
"Rechaza uno o más grupos",15,16,18
"Rechaza uno o más grupos",13,24,16
"Rechaza uno o más grupos",9,18,28
"Rechaza uno o más grupos",18,18,24
"Rechaza uno o más grupos",12,18,23
"Rechaza uno o más grupos",NA,18,21
NA,NA,NA,NA
"Acepta todos los grupos",19,6,21
"Rechaza uno o más grupos",19,6,26
"Rechaza uno o más grupos",13,6,7
"Rechaza uno o más grupos",11,16,25
"Rechaza uno o más grupos",10,NA,NA
"Acepta todos los grupos",18,8,13
"Acepta todos los grupos",13,16,18
"Rechaza uno o más grupos",10,13,14
"Rechaza uno o más grupos",13,22,25
"Rechaza uno o más grupos",11,17,17
"Rechaza uno o más grupos",10,22,28
"Acepta todos los grupos",7,NA,12
NA,20,19,14
"Acepta todos los grupos",9,12,12
"Rechaza uno o más grupos",11,NA,NA
"Rechaza uno o más grupos",16,20,NA
"Rechaza uno o más grupos",11,12,7
"Rechaza uno o más grupos",11,18,17
"Rechaza uno o más grupos",9,17,23
"Rechaza uno o más grupos",17,24,21
"Rechaza uno o más grupos",13,6,16
"Rechaza uno o más grupos",13,19,21
"Acepta todos los grupos",16,19,NA
"Rechaza uno o más grupos",15,18,25
"Rechaza uno o más grupos",11,16,21
"Acepta todos los grupos",10,18,11
NA,16,19,16
"Rechaza uno o más grupos",10,24,18
"Acepta todos los grupos",10,21,12
"Rechaza uno o más grupos",9,6,13
"Acepta todos los grupos",19,12,15
"Rechaza uno o más grupos",13,19,19
"Rechaza uno o más grupos",14,10,19
"Acepta todos los grupos",14,19,19
"Rechaza uno o más grupos",11,14,17
"Rechaza uno o más grupos",18,20,24
"Rechaza uno o más grupos",14,15,21
"Rechaza uno o más grupos",17,23,24
"Rechaza uno o más grupos",13,19,24
"Rechaza uno o más grupos",14,15,19
"Rechaza uno o más grupos",17,19,26
"Rechaza uno o más grupos",14,18,24
"Acepta todos los grupos",14,22,23
"Rechaza uno o más grupos",13,16,28
"Rechaza uno o más grupos",15,21,26
"Acepta todos los grupos",11,21,19
"Rechaza uno o más grupos",17,21,25
"Acepta todos los grupos",15,23,16
"Rechaza uno o más grupos",15,22,23
"Rechaza uno o más grupos",19,24,27
"Rechaza uno o más grupos",15,21,18
"Acepta todos los grupos",15,15,26
"Acepta todos los grupos",17,22,28
"Rechaza uno o más grupos",15,22,25
"Rechaza uno o más grupos",10,20,25
"Rechaza uno o más grupos",16,21,24
"Acepta todos los grupos",15,22,19
"Rechaza uno o más grupos",12,18,23
"Rechaza uno o más grupos",14,19,19
"Acepta todos los grupos",13,23,16
"Acepta todos los grupos",10,23,11
"Rechaza uno o más grupos",13,20,19
"Rechaza uno o más grupos",11,20,20
"Rechaza uno o más grupos",15,22,23
"Rechaza uno o más grupos",14,18,18
"Rechaza uno o más grupos",13,23,23
"Rechaza uno o más grupos",15,23,28
"Rechaza uno o más grupos",11,15,17
NA,11,18,19
"Rechaza uno o más grupos",13,22,15
"Acepta todos los grupos",12,20,28
"Rechaza uno o más grupos",12,22,20
"Rechaza uno o más grupos",15,22,25
NA,17,22,24
"Acepta todos los grupos",14,17,19
"Acepta todos los grupos",14,21,22
"Rechaza uno o más grupos",10,19,26
"Acepta todos los grupos",12,20,26
"Rechaza uno o más grupos",15,16,16
"Acepta todos los grupos",14,21,19
"Acepta todos los grupos",11,15,24
"Rechaza uno o más grupos",9,20,19
"Rechaza uno o más grupos",14,21,26
NA,9,12,NA
"Rechaza uno o más grupos",12,22,25
"Rechaza uno o más grupos",11,17,21
"Acepta todos los grupos",9,16,28
"Rechaza uno o más grupos",10,19,23
"Rechaza uno o más grupos",11,22,28
"Rechaza uno o más grupos",18,6,7
"Rechaza uno o más grupos",13,18,22
"Rechaza uno o más grupos",14,23,27
"Acepta todos los grupos",9,16,16
"Acepta todos los grupos",9,12,14
"Rechaza uno o más grupos",19,6,26
"Rechaza uno o más grupos",18,23,26
"Acepta todos los grupos",15,23,25
"Rechaza uno o más grupos",11,17,22
"Rechaza uno o más grupos",11,19,28
