"Estudiante","Escuela.x","Aula.x","Debate","Votar","Decisiones","Asamblea","Candidato","Medioambiente","Voluntario","Prop.decision","Expres.opinion","Discus.politic","Opinion.mayoria","Discus.difop","Aspectos","Como.votar","Como.leyes","Como.medioambiente","Como.problemas","Como.derechos","Como.paises","Como.economia","Escuela.y","Aula.y","Piel","Clase","Religion","Region","Fisica","Mental","Pais","indigena"
10010301,1001,100103,1,1,1,2,2,3,1,1,2,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,1001,100103,2,2,2,2,2,2,2,2
10010302,1001,100103,1,3,3,3,3,3,3,3,4,1,4,1,2,2,3,2,2,3,3,3,1001,100103,2,2,1,2,2,1,2,2
10010303,1001,100103,2,1,3,3,3,1,1,4,4,3,4,3,3,2,2,2,2,1,2,1,1001,100103,2,2,2,2,NA,2,2,2
10010304,1001,100103,3,1,3,3,3,3,2,2,3,4,4,2,2,2,2,1,2,2,2,2,1001,100103,2,2,2,2,2,2,2,2
10010305,1001,100103,1,1,2,3,1,2,1,3,2,2,4,2,1,4,4,4,4,4,4,4,1001,100103,1,1,1,1,1,1,1,1
10010306,1001,100103,1,1,2,2,1,1,1,4,4,2,4,4,4,1,1,1,1,2,2,2,1001,100103,2,2,2,2,2,2,2,2
10010307,1001,100103,3,1,2,2,1,2,3,2,3,2,3,2,2,2,3,1,2,3,3,3,1001,100103,2,2,2,2,2,2,2,2
10010308,1001,100103,2,1,3,3,1,1,1,4,4,4,4,4,4,4,3,2,3,3,2,2,1001,100103,2,2,2,2,2,2,2,2
10010309,1001,100103,3,1,3,3,3,3,3,4,4,4,4,1,3,3,1,3,4,3,3,2,1001,100103,2,2,2,2,2,2,2,2
10010311,1001,100103,2,1,3,3,2,3,2,3,3,4,4,2,3,2,1,2,3,2,3,2,1001,100103,2,2,2,2,2,2,2,2
10010312,1001,100103,1,3,3,3,3,3,3,3,1,1,1,1,1,4,4,4,4,4,4,4,1001,100103,2,2,2,2,2,2,2,2
10010313,1001,100103,3,2,3,3,3,3,3,3,3,2,2,2,2,1,2,1,2,2,2,1,1001,100103,2,2,2,2,2,2,2,2
10010314,1001,100103,3,1,3,3,2,3,3,4,4,1,3,2,2,3,2,2,4,3,4,2,1001,100103,2,2,2,2,2,2,2,2
10010315,1001,100103,1,1,1,2,3,2,2,4,4,3,4,2,2,2,2,1,3,2,1,2,1001,100103,2,2,2,2,2,2,2,2
10020201,1002,100202,3,1,3,3,1,2,1,3,3,1,4,3,4,2,4,1,3,3,2,2,1002,100202,2,2,2,2,2,2,2,2
10020202,1002,100202,3,2,1,3,3,1,3,1,2,1,3,2,1,4,4,2,4,4,4,4,1002,100202,2,2,2,2,2,2,2,2
10020203,1002,100202,2,2,3,3,3,3,3,3,3,3,3,3,2,4,2,1,2,1,3,4,1002,100202,2,2,2,2,2,2,2,2
10020204,1002,100202,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1002,100202,1,1,1,1,1,1,1,1
10020205,1002,100202,2,1,3,3,3,2,3,3,4,1,4,3,4,2,3,3,3,3,3,3,1002,100202,2,2,2,2,2,2,2,2
10020207,1002,100202,3,2,3,3,2,2,1,3,3,1,3,3,3,4,3,2,3,2,3,3,1002,100202,2,2,2,2,2,2,2,2
10020209,1002,100202,3,1,3,3,3,1,1,2,4,1,4,1,4,3,2,1,3,2,4,2,1002,100202,1,1,2,2,2,2,2,2
10020210,1002,100202,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1002,100202,NA,NA,2,NA,NA,NA,NA,NA
10020211,1002,100202,3,3,3,3,3,3,1,3,3,1,3,2,3,3,3,2,2,3,3,2,1002,100202,2,2,2,2,2,2,2,1
10020212,1002,100202,NA,1,3,3,3,3,1,4,4,3,4,3,4,2,1,1,1,2,1,1,1002,100202,2,1,1,2,2,2,2,1
10020213,1002,100202,3,2,3,3,3,3,3,2,1,1,3,3,3,3,4,2,3,3,4,4,1002,100202,2,2,2,2,2,2,2,2
10020214,1002,100202,2,1,2,2,1,2,1,1,3,2,2,2,2,2,2,1,1,2,2,3,1002,100202,2,2,2,2,2,2,2,2
10020215,1002,100202,3,1,3,3,3,1,1,3,3,1,3,2,4,2,3,2,3,3,4,2,1002,100202,2,2,2,2,2,2,2,2
10020216,1002,100202,3,3,3,3,3,3,3,2,2,1,2,2,2,3,3,3,3,3,3,3,1002,100202,2,2,2,2,2,2,2,2
10020217,1002,100202,2,1,3,3,3,3,3,1,2,1,2,1,1,4,4,2,4,4,4,4,1002,100202,2,2,2,2,2,2,2,2
10020218,1002,100202,2,1,3,1,1,2,2,4,3,2,1,1,3,2,2,1,2,3,3,3,1002,100202,2,2,2,2,2,2,2,2
10020219,1002,100202,3,1,2,3,2,2,2,3,4,2,3,3,3,2,2,1,2,1,2,3,1002,100202,2,2,2,2,2,2,2,2
10020220,1002,100202,3,2,3,3,2,2,2,2,2,1,1,1,2,2,1,1,2,4,2,2,1002,100202,2,2,2,2,2,2,2,2
10020221,1002,100202,3,1,3,3,1,2,1,1,3,3,3,2,2,2,3,1,2,2,2,2,1002,100202,2,2,2,2,2,2,2,2
10020223,1002,100202,3,2,3,3,3,3,3,3,4,1,2,3,3,2,3,1,3,3,3,2,1002,100202,2,2,2,2,2,2,2,2
10020224,1002,100202,2,1,3,1,3,1,3,4,4,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,1002,100202,1,1,1,1,1,1,1,1
